year,mean_bpm,weighted_mean_bpm,top10_mean_bpm,mean_valence,weighted_mean_valence,top10_mean_valence,n_songs_with_data,gdp_growth_pct,unemployment_rate,recession,unemployment_lag1,gdp_growth_lag1
2011,137.524125,132.04359911894272,126.061,0.575375,0.6317643171806168,0.623,8,1.543075871606514,8.933333333333334,0,9.608333333333334,2.7759609093124693
2012,132.41966666666667,126.31092443729902,123.474,0.56825,0.6199790996784567,0.6225,12,1.551852007332477,8.075,0,8.933333333333334,1.543075871606514
2013,112.22146153846153,108.14184948979589,119.33566666666667,0.5329923076923077,0.5847375,0.7036666666666666,13,3.0091449601746367,7.358333333333333,0,8.075,1.551852007332477
2014,123.849,124.87237826961771,130.0575,0.6055,0.6364718309859154,0.7050000000000001,18,2.6858351011456394,6.158333333333334,0,7.358333333333333,3.0091449601746367
2015,113.36628571428572,110.4865500650195,121.5255,0.5900000000000001,0.6146020806241873,0.781,14,2.119861312664817,5.275,0,6.158333333333334,2.6858351011456394
2016,111.08627272727273,103.88196207584829,100.132,0.3879363636363636,0.5041485029940119,0.57,11,2.1815663030564147,4.875,0,5.275,2.119861312664817
2017,120.91939393939394,121.58028145865433,113.1636,0.4908181818181818,0.5230010272213663,0.5568,33,2.9941434967617697,4.358333333333333,0,4.875,2.1815663030564147
2018,123.40515217391302,122.92644503621648,116.49370000000002,0.4490163043478261,0.43957818491691514,0.3921,92,2.125110751484538,3.891666666666666,0,4.358333333333333,2.9941434967617697
2019,120.15260759493674,119.40263733003711,128.2893,0.4436772151898734,0.4370475896168109,0.49729999999999996,79,3.3517765241980912,3.675,0,3.891666666666666,2.125110751484538
2020,110.65446666666666,104.45940875000002,93.44749999999999,0.44166666666666665,0.41572749999999997,0.3905,15,-0.9222152417236896,8.1,1,3.675,3.3517765241980912
2021,113.39625,94.85690683229814,,0.3792499999999999,0.40994409937888193,,4,5.756179192135091,5.3500000000000005,0,8.1,-0.9222152417236896
2022,135.00549999999998,129.73927027027025,,0.5405,0.6084864864864865,,2,1.3170742821654535,3.65,0,5.3500000000000005,5.756179192135091
2023,125.894,133.15250561797754,,0.6763333333333333,0.5748539325842698,,3,3.390893713155063,3.625,0,3.65,1.3170742821654535
2024,126.61999999999999,131.72005208333334,,0.4713333333333333,0.46378125000000003,,3,2.3997884845648576,4.025,0,3.625,3.390893713155063
2025,128.8325,130.4603076923077,,0.6475,0.6243846153846153,,2,1.9892996607980828,4.263636363636364,0,4.025,2.3997884845648576
